Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2014,26,NYM,NL,9,6,.600,2.69,22,22,0,0,0,0,140.1,117,44,42,7,43,2,144,1,0,1,565,128,2.67,1.140,7.5,0.4,2.8,9.2,3.35,RoY-1
2015,27,NYM,NL,14,8,.636,2.54,30,30,0,0,0,0,191.0,149,59,54,16,38,2,205,2,0,6,751,149,2.70,0.979,7.0,0.8,1.8,9.7,5.39,ASCYA-7
2016,28,NYM,NL,7,8,.467,3.04,24,24,0,1,1,0,148.0,142,53,50,15,36,0,143,3,0,4,604,132,3.32,1.203,8.6,0.9,2.2,8.7,3.97,
2017,29,NYM,NL,15,10,.600,3.53,31,31,0,1,0,0,201.1,180,87,79,28,59,5,239,2,0,7,827,117,3.50,1.187,8.0,1.3,2.6,10.7,4.05,CYA-8
2018,30,NYM,NL,10,9,.526,1.70,32,32,0,1,0,0,217.0,152,48,41,10,46,3,269,5,0,2,835,218,1.98,0.912,6.3,0.4,1.9,11.2,5.85,ASCYA-1MVP-5
2019,31,NYM,NL,11,8,.579,2.43,32,32,0,0,0,0,204.0,154,59,55,19,44,1,255,7,0,2,804,169,2.67,0.971,6.8,0.8,1.9,11.3,5.80,ASCYA-1MVP-10
2020,32,NYM,NL,4,2,.667,2.38,12,12,0,0,0,0,68.0,47,21,18,7,18,0,104,0,0,4,268,178,2.26,0.956,6.2,0.9,2.4,13.8,5.78,CYA-3
7 Yrs,7 Yrs,7 Yrs,7 Yrs,70,51,.579,2.61,183,183,0,3,1,0,1169.2,941,371,339,102,284,13,1359,20,0,26,4654,150,2.75,1.047,7.2,0.8,2.2,10.5,4.79,
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,13,9,.579,2.61,34,34,0,1,0,0,217,175,69,63,19,53,2,252,4,0,5,865,150,2.75,1.047,7.2,0.8,2.2,10.5,4.79,
