last_name, first_name,year,p_formatted_ip,p_total_hits,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,p_earned_run,p_run,p_balk,
Bailey, Homer,2019,163.1,162,149,53,21.4,7.6,.256,.403,.315,.147,83,84,1,
deGrom, Jacob,2019,204.0,154,255,44,31.7,5.5,.207,.323,.255,.116,55,59,0,
Teheran, Julio,2019,174.2,148,162,83,21.5,11.0,.229,.389,.325,.160,74,81,1,
Strasburg, Stephen,2019,209.0,161,251,56,29.8,6.7,.210,.349,.270,.139,77,79,0,
Roark, Tanner,2019,165.1,180,158,51,21.9,7.1,.275,.467,.338,.192,80,84,0,
Nova, Ivan,2019,187.0,225,114,47,14.1,5.8,.303,.483,.349,.180,98,107,0,
Minor, Mike,2019,208.1,190,200,68,23.2,7.9,.244,.395,.307,.151,83,86,0,
Mikolas, Miles,2019,184.0,193,144,32,18.8,4.2,.272,.449,.310,.177,85,90,2,
Kershaw, Clayton,2019,178.1,145,189,41,26.8,5.8,.222,.394,.266,.172,60,63,1,
Kelly, Merrill,2019,183.1,184,158,57,20.3,7.3,.260,.447,.313,.187,90,95,0,
Keller, Brad,2019,165.1,154,122,70,17.2,9.9,.247,.381,.329,.134,77,80,1,
Junis, Jakob,2019,175.1,192,164,58,21.3,7.5,.276,.468,.339,.192,102,108,0,
Corbin, Patrick,2019,202.0,169,238,70,28.5,8.4,.227,.375,.290,.148,73,81,0,
Verlander, Justin,2019,223.0,137,300,42,35.4,5.0,.172,.361,.218,.189,64,66,0,
Tanaka, Masahiro,2019,182.0,186,149,40,19.6,5.3,.261,.450,.300,.189,90,95,0,
Samardzija, Jeff,2019,181.1,152,140,49,18.9,6.6,.225,.411,.280,.186,71,78,0,
Alcantara, Sandy,2019,197.1,179,151,81,18.0,9.7,.241,.397,.320,.156,85,94,1,
Syndergaard, Noah,2019,197.2,194,202,50,24.5,6.1,.256,.410,.303,.154,94,101,0,
Rodriguez, Eduardo,2019,203.1,195,213,75,24.8,8.7,.253,.391,.322,.138,86,88,0,
Quintana, Jose,2019,171.0,191,152,46,20.4,6.2,.282,.440,.321,.158,89,100,0,
Lynn, Lance,2019,208.1,195,246,59,28.1,6.7,.243,.390,.299,.147,85,89,0,
Lopez, Reynaldo,2019,184.0,203,169,65,20.9,8.0,.278,.491,.341,.213,110,119,2,
Gonzales, Marco,2019,203.0,210,147,56,17.0,6.5,.264,.422,.314,.158,90,106,1,
Flaherty, Jack,2019,196.1,135,231,55,29.9,7.1,.192,.335,.255,.143,60,62,0,
Darvish, Yu,2019,178.2,140,229,56,31.3,7.7,.213,.411,.283,.198,79,82,0,
Bauer, Trevor,2019,213.0,184,253,82,27.8,9.0,.230,.429,.313,.199,106,118,0,
Lopez, Reynaldo,2018,188.2,165,151,75,18.9,9.4,.234,.400,.313,.166,82,88,3,
Kluber, Corey,2018,215.0,179,222,34,26.4,4.0,.223,.367,.257,.144,69,75,0,
Hendricks, Kyle,2018,199.0,184,161,44,19.8,5.4,.247,.391,.292,.144,76,82,0,
Corbin, Patrick,2018,200.0,162,246,48,30.8,6.0,.218,.337,.269,.119,70,70,0,
Bundy, Dylan,2018,171.2,188,184,54,24.5,7.2,.274,.523,.331,.249,104,116,1,
Arrieta, Jake,2018,172.2,165,138,57,19.1,7.9,.254,.407,.316,.153,76,93,1,
Anderson, Tyler,2018,176.0,165,164,59,22.3,8.0,.248,.448,.308,.200,89,94,2,
Quintana, Jose,2018,174.1,162,158,68,21.4,9.2,.246,.418,.315,.172,78,81,0,
Fiers, Mike,2018,172.0,166,139,37,19.5,5.2,.249,.450,.296,.201,68,71,0,
LeBlanc, Wade,2018,162.0,151,130,40,19.6,6.0,.246,.419,.293,.173,67,74,0,
Keuchel, Dallas,2018,204.2,211,153,58,17.5,6.6,.263,.393,.310,.130,85,92,0,
Junis, Jakob,2018,177.0,182,164,43,21.6,5.7,.265,.455,.317,.190,86,94,0,
Godley, Zack,2018,178.1,177,185,81,23.4,10.2,.260,.389,.341,.129,94,103,1,
Gibson, Kyle,2018,196.2,177,179,79,21.7,9.6,.241,.385,.315,.144,79,88,0,
Castillo, Luis,2018,169.2,158,165,49,23.3,6.9,.245,.431,.299,.186,81,89,2,
Boyd, Matthew,2018,170.1,146,159,51,22.4,7.2,.228,.410,.293,.182,83,87,2,
Wheeler, Zack,2018,182.1,150,179,55,24.1,7.4,.225,.320,.288,.095,67,69,1,
Teheran, Julio,2018,175.2,122,162,84,22.4,11.6,.196,.374,.297,.178,77,80,3,
Price, David,2018,176.0,151,177,50,24.5,6.9,.230,.399,.292,.169,70,75,0,
Morton, Charlie,2018,167.0,130,201,64,28.9,9.2,.213,.356,.302,.143,58,63,0,
Mikolas, Miles,2018,200.2,186,146,29,18.1,3.6,.245,.350,.275,.105,63,70,1,
Gray, Jon,2018,172.1,180,183,52,24.6,7.0,.266,.451,.320,.185,98,102,2,
Urena, Jose,2018,174.0,155,130,51,18.3,7.2,.242,.381,.306,.139,77,78,1,
Taillon, Jameson,2018,191.0,179,179,46,22.8,5.9,.246,.385,.294,.139,68,69,0,
Snell, Blake,2018,180.2,112,221,64,31.6,9.1,.178,.300,.253,.122,38,41,0,
Severino, Luis,2018,191.1,173,220,46,28.2,5.9,.238,.379,.287,.141,72,76,0,
Pivetta, Nick,2018,164.0,163,188,51,27.1,7.3,.261,.423,.316,.162,87,91,0,
Newcomb, Sean,2018,164.0,137,160,81,23.0,11.6,.226,.362,.315,.136,71,74,0,
Marquez, German,2018,196.0,179,230,57,28.2,7.0,.241,.398,.299,.157,82,90,0,
Lester, Jon,2018,181.2,174,149,64,19.6,8.4,.256,.410,.321,.154,67,75,0,
Leake, Mike,2018,185.2,207,119,34,15.2,4.3,.280,.447,.315,.167,90,98,0,
Holland, Derek,2018,171.1,154,169,67,23.2,9.2,.241,.405,.309,.164,68,74,1,
Heaney, Andrew,2018,180.0,171,180,45,24.0,6.0,.248,.419,.299,.171,83,91,0,
Chacin, Jhoulys,2018,192.2,153,156,71,19.6,8.9,.220,.357,.295,.137,75,83,0,
Verlander, Justin,2018,214.0,156,290,37,34.8,4.4,.200,.360,.241,.160,60,63,2,
Roark, Tanner,2018,180.1,181,146,50,19.2,6.6,.262,.422,.317,.160,87,90,0,
