last_name, first_name,year,p_formatted_ip,p_total_hits,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,p_earned_run,p_run,p_balk,
Ramirez, Erasmo,2015,163.1,145,126,40,18.9,6.0,.236,.363,.291,.127,68,73,0,
Quintana, Jose,2015,206.1,218,177,44,20.5,5.1,.272,.408,.313,.136,77,81,0,
Martinez, Carlos,2015,179.2,168,184,63,24.4,8.3,.250,.367,.317,.117,60,65,1,
Liriano, Francisco,2015,186.2,155,205,70,26.5,9.1,.223,.332,.298,.109,70,75,1,
Hendricks, Kyle,2015,180.0,166,167,43,22.6,5.8,.244,.380,.294,.136,79,82,1,
Harvey, Matt,2015,189.1,156,188,37,24.9,4.9,.222,.344,.262,.122,57,62,0,
Harang, Aaron,2015,172.1,189,108,51,14.4,6.8,.278,.470,.329,.192,93,100,0,
Gallardo, Yovani,2015,184.1,193,121,68,15.3,8.6,.268,.399,.330,.131,70,76,0,
Anderson, Brett,2015,180.1,194,116,46,15.5,6.1,.278,.402,.323,.124,74,82,2,
deGrom, Jacob,2015,191.0,149,205,38,27.3,5.1,.215,.318,.252,.103,54,59,0,
Wood, Alex,2015,189.2,198,139,59,17.4,7.4,.275,.392,.326,.117,81,86,1,
Tillman, Chris,2015,173.0,176,120,64,16.2,8.6,.267,.430,.331,.163,96,97,0,
Salazar, Danny,2015,185.0,156,195,53,25.8,7.0,.226,.387,.285,.161,71,79,2,
Odorizzi, Jake,2015,169.1,149,150,46,21.4,6.6,.231,.396,.283,.165,63,65,1,
Niese, Jonathon,2015,176.2,192,113,55,14.7,7.1,.280,.424,.332,.144,81,93,0,
Miley, Wade,2015,193.2,201,147,64,17.7,7.7,.265,.416,.324,.151,96,98,1,
Heston, Chris,2015,177.2,169,141,64,18.9,8.6,.253,.397,.330,.144,78,82,1,
Hamels, Cole,2015,212.1,190,215,62,24.4,7.0,.238,.369,.298,.131,86,88,4,
Fiers, Mike,2015,180.1,162,180,64,23.7,8.4,.238,.407,.305,.169,74,83,0,
Chen, Wei-Yin,2015,191.1,192,153,41,19.3,5.2,.262,.456,.301,.194,71,78,0,
Cashner, Andrew,2015,184.2,200,165,66,20.5,8.2,.279,.430,.338,.151,89,111,0,
Zimmermann, Jordan,2015,201.2,204,164,39,19.7,4.7,.264,.394,.302,.130,82,89,1,
Walker, Taijuan,2015,169.2,163,157,40,22.2,5.7,.252,.415,.300,.163,86,92,1,
Simon, Alfredo,2015,187.0,201,117,68,14.3,8.3,.276,.466,.338,.190,105,112,0,
Samardzija, Jeff,2015,214.0,228,163,49,17.9,5.4,.273,.446,.318,.173,118,122,0,
Price, David,2015,220.1,190,225,47,25.3,5.3,.230,.350,.270,.120,60,70,0,
Koehler, Tom,2015,187.1,180,137,77,17.1,9.6,.255,.408,.329,.153,85,96,0,
Kennedy, Ian,2015,168.1,166,174,52,24.4,7.3,.258,.497,.316,.239,80,95,1,
Estrada, Marco,2015,181.0,134,131,55,18.1,7.6,.203,.364,.268,.161,63,67,0,
De La Rosa, Rubby,2015,188.2,193,150,63,18.5,7.8,.265,.457,.321,.192,98,103,2,
Richards, Garrett,2015,207.1,181,176,76,20.3,8.8,.236,.359,.303,.123,84,94,0,
Keuchel, Dallas,2015,232.0,185,216,51,23.7,5.6,.217,.314,.261,.097,64,68,0,
Hernandez, Felix,2015,201.2,180,191,58,23.1,7.0,.240,.381,.299,.141,79,80,0,
Hammel, Jason,2015,170.2,158,172,40,24.2,5.6,.242,.425,.287,.183,71,79,0,
Cole, Gerrit,2015,208.0,183,202,44,24.3,5.3,.239,.336,.285,.097,60,71,0,
Arrieta, Jake,2015,229.0,150,236,48,27.1,5.5,.185,.271,.234,.086,45,52,0,
Scherzer, Max,2015,228.2,176,276,34,30.7,3.8,.208,.358,.239,.150,71,74,1,
Lynn, Lance,2015,175.1,172,167,68,22.2,9.1,.258,.378,.326,.120,59,66,0,
Locke, Jeff,2015,168.1,179,129,60,17.5,8.2,.274,.398,.334,.124,84,95,0,
Lester, Jon,2015,205.0,183,207,47,25.0,5.7,.240,.373,.286,.133,76,83,0,
Haren, Dan,2015,187.1,174,132,38,17.2,4.9,.245,.444,.286,.199,75,79,0,
Danks, John,2015,177.2,195,124,56,16.1,7.3,.281,.466,.331,.185,93,104,1,
Porcello, Rick,2010,162.2,188,84,38,12.0,5.4,.288,.419,.333,.131,89,96,3,
Cahill, Trevor,2010,196.2,155,118,63,15.1,8.0,.220,.332,.286,.112,65,73,2,
Latos, Mat,2010,184.2,150,189,50,25.3,6.7,.217,.330,.270,.113,60,63,1,
Kuroda, Hiroki,2010,196.1,180,159,48,19.6,5.9,.243,.351,.288,.108,74,87,0,
Garza, Matt,2010,204.2,193,150,63,17.5,7.4,.248,.420,.308,.172,89,94,2,
Kershaw, Clayton,2010,204.1,160,212,81,25.0,9.6,.214,.320,.292,.106,66,73,2,
Niese, Jonathon,2010,173.2,192,148,62,19.2,8.1,.280,.437,.342,.157,81,97,0,
Masterson, Justin,2010,180.0,197,140,73,17.5,9.1,.278,.385,.350,.107,94,107,0,
Hanson, Tommy,2010,202.2,182,173,56,20.5,6.6,.239,.347,.298,.108,75,86,0,
Hughes, Phil,2010,176.1,162,146,58,20.0,7.9,.244,.400,.301,.156,82,83,1,
Gonzalez, Gio,2010,200.2,171,171,92,20.1,10.8,.229,.329,.314,.100,72,75,1,
Braden, Dallas,2010,192.2,180,113,43,14.5,5.5,.249,.373,.292,.124,75,83,1,
Romero, Ricky,2010,210.0,189,174,82,19.7,9.3,.242,.354,.316,.112,87,98,1,
Pelfrey, Mike,2010,204.0,213,113,68,13.0,7.8,.275,.398,.330,.123,83,88,1,
Volstad, Chris,2010,175.0,187,102,60,13.5,7.9,.277,.415,.336,.138,89,94,1,
Cueto, Johnny,2010,185.2,181,138,56,17.7,7.2,.257,.408,.315,.151,75,79,2,
Sanchez, Jonathan,2010,193.1,142,205,96,25.2,11.8,.204,.343,.304,.139,66,74,1,
Price, David,2010,208.2,170,188,79,21.8,9.2,.221,.340,.295,.119,63,71,3,
Richard, Clayton,2010,201.2,206,153,78,17.8,9.1,.267,.381,.334,.114,84,89,2,
Buchholz, Clay,2010,173.2,142,120,67,16.9,9.4,.226,.312,.301,.086,45,55,1,
Lincecum, Tim,2010,212.1,194,231,76,25.8,8.5,.242,.364,.307,.122,81,84,0,
Scherzer, Max,2010,195.2,174,184,70,23.0,8.8,.244,.383,.314,.139,76,84,0,
Kennedy, Ian,2010,194.0,163,168,70,20.7,8.6,.228,.392,.300,.164,82,87,0,
Kendrick, Kyle,2010,180.2,199,84,49,10.9,6.4,.283,.477,.326,.194,95,103,2,
Lester, Jon,2010,208.0,167,225,83,26.1,9.6,.220,.325,.302,.105,75,81,0,
Marcum, Shaun,2010,195.1,181,165,43,20.6,5.4,.242,.403,.288,.161,79,84,0,
Gallardo, Yovani,2010,185.0,178,200,75,24.9,9.3,.251,.370,.319,.119,79,89,1,
Davis, Wade,2010,168.0,165,113,62,15.7,8.6,.255,.433,.321,.178,76,77,0,
Billingsley, Chad,2010,191.2,176,171,69,20.9,8.4,.244,.353,.312,.109,76,82,0,
Matusz, Brian,2010,175.2,173,143,63,18.8,8.3,.255,.395,.320,.140,84,88,0,
Fister, Doug,2010,171.0,187,93,32,12.9,4.4,.277,.385,.313,.108,78,85,3,
Wilson, C.J.,2010,204.0,161,170,93,20.0,10.9,.217,.311,.311,.094,76,83,1,
Weaver, Jered,2010,224.1,187,233,54,25.7,6.0,.222,.355,.266,.133,75,83,1,
Vargas, Jason,2010,192.2,187,116,54,14.3,6.7,.251,.399,.298,.148,81,86,4,
Garcia, Jaime,2010,163.1,151,132,64,19.0,9.2,.243,.323,.314,.080,49,64,1,
Wells, Randy,2010,194.1,209,144,63,17.1,7.5,.273,.413,.330,.140,92,97,0,
Shields, James,2010,203.1,246,187,51,20.8,5.7,.294,.490,.336,.196,117,128,2,
Bergesen, Brad,2010,170.0,193,81,51,10.9,6.8,.285,.490,.336,.205,94,104,3,
Cecil, Brett,2010,172.2,175,117,54,16.1,7.4,.264,.416,.317,.152,81,87,1,
Niemann, Jeff,2010,174.1,159,131,61,17.9,8.3,.242,.412,.310,.170,85,86,0,
Johnson, Josh,2010,183.2,155,186,48,25.0,6.5,.229,.325,.280,.096,47,51,0,
Baker, Scott,2010,170.1,186,148,43,20.4,5.9,.277,.468,.324,.191,85,87,0,
Davies, Kyle,2010,183.2,206,126,80,15.4,9.8,.283,.439,.353,.156,109,114,1,
Sanchez, Anibal,2010,195.0,192,157,70,18.7,8.3,.257,.356,.320,.099,77,89,0,
Rodriguez, Wandy,2010,195.0,183,178,68,21.7,8.3,.250,.381,.316,.131,78,95,0,
Hammel, Jason,2010,177.2,201,141,47,18.3,6.1,.287,.420,.330,.133,95,97,2,
Jimenez, Ubaldo,2010,221.2,164,214,92,23.9,10.3,.209,.311,.296,.102,71,73,1,
Saunders, Joe,2010,203.1,232,114,64,13.0,7.3,.291,.457,.342,.166,101,120,0,
Liriano, Francisco,2010,191.2,184,201,58,24.9,7.2,.252,.355,.313,.103,77,77,1,
Verlander, Justin,2010,224.1,190,219,71,23.7,7.7,.228,.339,.289,.111,84,89,2,
Bush, Dave,2010,174.1,198,107,65,13.7,8.3,.286,.481,.342,.195,88,108,1,
Hernandez, Felix,2010,249.2,194,232,70,23.2,7.0,.212,.312,.272,.100,63,80,1,
Hernandez, Roberto,2010,210.1,203,124,72,14.1,8.2,.258,.380,.323,.122,88,98,0,
Danks, John,2010,213.0,189,162,70,18.5,8.0,.237,.355,.300,.118,88,93,1,
Hamels, Cole,2010,208.2,185,211,61,24.6,7.1,.237,.394,.297,.157,71,74,0,
Cain, Matt,2010,223.1,181,177,61,19.8,6.8,.221,.369,.275,.148,78,84,0,
Maholm, Paul,2010,185.1,228,102,62,12.1,7.4,.303,.452,.356,.149,105,119,0,
Blanton, Joe,2010,175.2,206,134,43,17.5,5.6,.291,.464,.329,.173,94,104,0,
Narveson, Chris,2010,167.2,172,137,59,18.9,8.1,.266,.431,.326,.165,93,96,0,
Santana, Ervin,2010,222.2,221,169,73,17.7,7.7,.259,.420,.321,.161,97,104,1,
Jackson, Edwin,2010,209.1,214,181,78,20.1,8.6,.265,.402,.330,.137,104,111,0,
Haren, Dan,2010,235.0,245,216,54,21.7,5.4,.267,.429,.306,.162,102,110,2,
Floyd, Gavin,2010,187.1,199,151,58,18.9,7.3,.274,.388,.330,.114,85,92,1,
Greinke, Zack,2010,220.0,219,181,55,19.7,6.0,.260,.388,.306,.128,102,114,0,
Bonderman, Jeremy,2010,171.0,187,112,60,14.9,8.0,.277,.448,.341,.171,105,113,0,
Wainwright, Adam,2010,230.1,186,213,56,23.4,6.2,.224,.330,.270,.106,62,68,0,
Guthrie, Jeremy,2010,209.1,193,119,50,13.6,5.7,.243,.416,.297,.173,89,93,1,
Lee, Cliff,2010,212.1,195,185,18,21.9,2.1,.240,.363,.254,.123,75,84,1,
Myers, Brett,2010,223.2,212,180,66,19.2,7.1,.248,.379,.300,.131,78,88,0,
Lewis, Colby,2010,201.0,174,196,65,23.2,7.7,.227,.369,.290,.142,83,90,0,
Lackey, John,2010,215.0,233,156,72,16.8,7.7,.277,.426,.338,.149,105,114,0,
Oswalt, Roy,2010,211.2,162,193,55,23.1,6.6,.213,.346,.265,.133,65,70,1,
Dickey, R.A.,2010,174.1,165,104,42,14.6,5.9,.251,.361,.296,.110,55,62,0,
Sabathia, CC,2010,237.2,209,197,74,20.3,7.6,.239,.355,.299,.116,84,92,1,
Buehrle, Mark,2010,210.1,246,99,49,11.0,5.5,.295,.418,.330,.123,100,105,5,
Garland, Jon,2010,200.0,176,136,87,16.2,10.4,.240,.371,.321,.131,77,86,0,
Arroyo, Bronson,2010,215.2,188,121,59,13.8,6.7,.234,.389,.288,.155,93,95,1,
Santana, Johan,2010,199.0,179,144,55,17.6,6.7,.240,.356,.289,.116,66,67,2,
Hudson, Tim,2010,228.2,189,139,74,15.1,8.0,.229,.343,.296,.114,72,74,0,
Zito, Barry,2010,199.1,184,150,84,17.7,9.9,.250,.396,.324,.146,92,97,0,
Lopez, Rodrigo,2010,200.0,227,116,56,13.3,6.4,.286,.500,.327,.214,111,126,0,
Westbrook, Jake,2010,202.2,203,128,68,14.9,7.9,.262,.401,.324,.139,95,99,0,
Lilly, Ted,2010,193.2,165,166,44,21.1,5.6,.229,.421,.273,.192,78,83,2,
Burnett, A.J.,2010,186.2,204,145,78,17.5,9.4,.285,.457,.363,.172,109,118,0,
Wolf, Randy,2010,215.2,213,142,87,15.2,9.3,.258,.430,.330,.172,100,107,0,
Halladay, Roy,2010,250.2,231,219,30,22.1,3.0,.245,.373,.269,.128,68,74,1,
Pavano, Carl,2010,221.0,227,117,37,12.9,4.1,.266,.417,.298,.151,92,95,0,
Dempster, Ryan,2010,215.1,198,208,86,22.7,9.4,.244,.388,.320,.144,92,110,0,
Millwood, Kevin,2010,190.2,223,132,65,15.7,7.7,.292,.461,.349,.169,108,116,1,
Lowe, Derek,2010,193.2,204,136,61,16.5,7.4,.273,.398,.326,.125,86,88,2,
Hernandez, Livan,2010,211.2,216,114,64,12.7,7.1,.270,.393,.317,.123,86,93,1,
Carpenter, Chris,2010,235.0,214,179,63,18.5,6.5,.244,.377,.299,.133,84,99,0,
